Datetime,AHI,Expected_Lifetime,Requirements
2017-10-30,0.5006458412315711,More than 5 years,Normal Maintenance
2017-10-31,0.5019960561327571,More than 5 years,Normal Maintenance
2017-11-01,0.5033499124908959,More than 5 years,Normal Maintenance
2017-11-02,0.5047074201268008,More than 5 years,Normal Maintenance
2017-11-03,0.5060685888877716,More than 5 years,Normal Maintenance
2017-11-04,0.5073046959337401,More than 5 years,Normal Maintenance
2017-11-05,0.5084075067750967,More than 5 years,Normal Maintenance
2017-11-06,0.510174160792871,More than 5 years,Normal Maintenance
2017-11-07,0.5115500730593309,More than 5 years,Normal Maintenance
2017-11-08,0.5129296960871551,More than 5 years,Normal Maintenance
2017-11-09,0.5143130398840675,More than 5 years,Normal Maintenance
2017-11-10,0.5157001144847824,More than 5 years,Normal Maintenance
2017-11-11,0.5170909299510764,More than 5 years,Normal Maintenance
2017-11-12,0.5177671540612923,More than 5 years,Normal Maintenance
2017-11-13,0.5198838238632651,More than 5 years,Normal Maintenance
2017-11-14,0.5212859225686871,More than 5 years,Normal Maintenance
2017-11-15,0.5226918026588909,More than 5 years,Normal Maintenance
2017-11-16,0.5241014743320674,More than 5 years,Normal Maintenance
2017-11-17,0.5255149478139124,More than 5 years,Normal Maintenance
2017-11-18,0.5269322333576989,More than 5 years,Normal Maintenance
2017-11-19,0.5278897967493706,More than 5 years,Normal Maintenance
2017-11-20,0.529778281782528,More than 5 years,Normal Maintenance
2017-11-21,0.5312070653086787,More than 5 years,Normal Maintenance
2017-11-22,0.5326397021871369,More than 5 years,Normal Maintenance
2017-11-23,0.5340762028101865,More than 5 years,Normal Maintenance
2017-11-24,0.5355165775981389,More than 5 years,Normal Maintenance
2017-11-25,0.5369608369994084,More than 5 years,Normal Maintenance
2017-11-26,0.5384089914905881,More than 5 years,Normal Maintenance
2017-11-27,0.539861051576526,More than 5 years,Normal Maintenance
2017-11-28,0.5413170277904008,More than 5 years,Normal Maintenance
2017-11-29,0.5427769306937994,More than 5 years,Normal Maintenance
2017-11-30,0.5442407708767917,More than 5 years,Normal Maintenance
2017-12-01,0.5457085589580092,More than 5 years,Normal Maintenance
2017-12-02,0.5460666042725852,More than 5 years,Normal Maintenance
2017-12-03,0.5460542006793991,More than 5 years,Normal Maintenance
2017-12-04,0.5501357172073571,More than 5 years,Normal Maintenance
2017-12-05,0.5516194036417051,More than 5 years,Normal Maintenance
2017-12-06,0.5531070914985506,More than 5 years,Normal Maintenance
2017-12-07,0.5545987915695147,More than 5 years,Normal Maintenance
2017-12-08,0.5560945146753231,More than 5 years,Normal Maintenance
2017-12-09,0.5554541098719846,More than 5 years,Normal Maintenance
2017-12-10,0.5557116636064651,More than 5 years,Normal Maintenance
2017-12-11,0.5606059308472864,More than 5 years,Normal Maintenance
2017-12-12,0.5621178548845683,More than 5 years,Normal Maintenance
2017-12-13,0.5636338564996438,More than 5 years,Normal Maintenance
2017-12-14,0.5651539466895207,More than 5 years,Normal Maintenance
2017-12-15,0.5616950488174525,More than 5 years,Normal Maintenance
2017-12-16,0.563572453798132,More than 5 years,Normal Maintenance
2017-12-17,0.5624034021877726,More than 5 years,Normal Maintenance
